"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEDIAN_SAL.1","POP","CITY","latitude","longitude"
"LiviaÎês Dish, A Unique Dining Experience","Italian",2,62,4.5,"(508) 926-8861","1394 Main St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2410191,-71.8531284
"HerbieÎês","American",1,41,4,"(508) 757-5083","1030 Southbridge St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.231771,-71.8189629
"Figs & Pigs","Coffee & Tea",1,14,4,"(508) 929-0701","50 Foster St.  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2660513,-71.7985725
"Chuan Shabu","Hot Pot",2,78,4,"(508) 556-7301","301 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2621959,-71.8200407
"Flying Rhino Cafe & Watering Hole","American",2,161,3.5,"(508) 556-4650","278 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2684042,-71.7812558
"Hacienda Don Juan","Mexican",2,47,4,"(508) 756-2076","875 B Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2528339,-71.8167326
"Evo","American",2,138,3.5,"(508) 459-4240","234 Chandler St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2613084,-71.8200364
"Wild WillyÎês Burgers","Burgers",2,106,4,"(508) 459-2088","317 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.3007728,-71.8008001
"Baba Restaurant & Sushi Bar","Sushi Bars",3,227,4,"(508) 556-1498","309 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2619353,-71.8201307
"Sisters Restaurant","Breakfast & Brunch",1,26,4.5,"(508) 755-2604","171 Stafford St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2363871,-71.8486458
"One Eleven Chop House","Steakhouses",3,244,4,"(508) 799-4111","111 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2635249,-71.7895344
"The Sole Proprietor","Bars",3,342,4,"(508) 798-3474","118 Highland St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2712122,-71.8072865
"Basil nÎê Spice Thai Cuisine","Thai",2,68,4,"(774) 317-9986","299 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.268362,-71.7795292
"Via Italian Table","Italian",2,234,3.5,"(508) 754-4842","89 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2632898,-71.7901216
"Kenichi Bistro","Asian Fusion",2,52,4,"(508) 926-8622","270 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2681164,-71.7818047
"Corner Grille","Pizza",2,178,4,"(508) 754-8884","806 Pleasant St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2731683,-71.8312865
"Anh Thu","Vietnamese",1,50,4,"(508) 752-1330","439 Park Ave  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.255398,-71.8241411
"RosalinaÎês Kitchen","Food Delivery Services",2,46,3.5,"(508) 926-8887","83 Hamilton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2562922,-71.7806158
"Hien-Vuong Restaurant","Vietnamese",1,47,4,"(508) 753-9755","76 Green St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2581401,-71.7978355
"Straight Up Cafe","Cafes",1,11,4.5,"(774) 243-1313","795 Main St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.255937,-71.8111797
"Ciao Bella","Pizza",2,77,3.5,"(508) 756-2426","402 Grove St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2873012,-71.807065
"Lou RocÎês Diner","Diners",1,117,4.5,"(508) 852-6888","1074 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.3316365,-71.7899947
"FratelliÎês Corner Crust","Pizza",1,29,4.5,"(508) 799-2500","186 Stafford St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2360397,-71.8501295
"AnnieÎês Clark Brunch","Breakfast & Brunch",1,46,4,"(508) 756-1550","934 Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2510371,-71.8210969
"RalphÎês Chadwick Square Diner","Diners",1,67,4,"(508) 753-9543","148 Grove St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2780401,-71.80222
"BahnanÎês Bakery","Middle Eastern",1,39,4.5,"(508) 796-5365","344 Pleasant St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2635659,-71.8140004
"Mezcal Tequila Cantina","Mexican",2,150,3,"(508) 926-8308","30 Major Taylor Blvd  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2672936,-71.7976652
"Pickle Barrel Delicatessen","Delis",1,13,4,"(508) 754-0921","305 Pleasant St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2641543,-71.8126996
"Chickpea","Vegan",1,31,4,"(774) 312-7954","589 Park Ave  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2488122,-71.8318682
"Wingman","Chicken Wings",2,31,4.5,"(508) 753-3000","275 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2633945,-71.8193975
"Tacos Parilla Mexicana","Mexican",2,27,4,"(508) 798-3496","138 Millbury St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2517449,-71.7998685
"Tandoori International Food Restaurant & Bakery","Halal",1,17,4.5,"(774) 243-7474","560 Lincoln St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2962512,-71.7720054
"BelsitoÎês Deli","Delis",1,25,4.5,"(508) 756-3850","305 Plantation St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.269979,-71.7713662
"Addie LeeÎês Soul Food","Soul Food",1,14,4.5,"(508) 752-0569","596 Main St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2605687,-71.8044374
"The Muse","Cocktail Bars",1,9,5,"(508) 756-6873","536 Main St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2614787,-71.8036591
"Parkway Restaurant and Bar","Sports Bars",4,18,4,"(508) 753-9968","148 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.264815,-71.7880577
"Z Cafe","American",1,17,4,"(508) 304-1220","389 Main St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.264128,-71.80131
"Blackstone Bistro","American",1,23,4.5,"(774) 243-7285","35 Blackstone River Rd  Worcester, MA 01607",1607,47987,47987,8415,"Worcester",42.2330454,-71.7947682
"Jamaica Thymes","Caribbean",2,7,4.5,"(508) 868-1511","169b Lincoln St.  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2798911,-71.7933173
"Red Pepper","Chinese",2,57,3.5,"(774) 243-6488","1083 Main St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2447649,-71.8332027
"Boomers Pizza Sub & Deli","Sandwiches",1,68,4,"(508) 791-5551","93 Highland St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2709595,-71.8056972
"Boulevard Diner","Diners",1,103,3.5,"(508) 791-4535","155 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2648167,-71.787228
"GeorgeÎês Coney Island Lunch","Hot Dogs",1,177,4,"(508) 753-4362","158 Southbridge St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2575954,-71.8038507
"Sake Bomb Bistro","Sushi Bars",2,32,4,"(508) 754-2426","258 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2645909,-71.8196009
"Wonder Bar Restaurant","Pizza",2,36,3.5,"(508) 752-9909","121 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2638109,-71.789022
"Kai Sushi Bar & Grill","Sushi Bars",2,62,4.5,"(508) 770-1010","68 Stafford St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2410528,-71.8430115
"OÎêConnorÎês Restaurant & Bar","Irish",2,181,4,"(508) 853-0789","1160 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.3357019,-71.7884052
"Garden Fresh Courthouse Cafe","Breakfast & Brunch",1,31,4,"(508) 753-8500","204 Main St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.267824,-71.801031
"Wicked Wing","Chicken Wings",2,45,3.5,"(774) 243-7336","321 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.3012229,-71.8004419
"99 Restaurant & Pub","American",2,46,3,"(508) 792-9997","11 East Central Street  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2668891,-71.794324
"Racha Thai","Thai",2,70,3.5,"(508) 757-8884","545 SW Cutoff  Worcester, MA 01607",1607,47987,47987,8415,"Worcester",42.2113982,-71.7965419
"NU Cafe","Juice Bars & Smoothies",2,112,4,"(508) 926-8800","335 Chandler St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2627767,-71.826625
"Chiodas Trattoria","Italian",2,41,3.5,"(508) 459-6035","631 Franklin St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2671434,-71.7762215
"Spanish Grill","Spanish",2,4,5,"(508) 791-5144","703 Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2582358,-71.8072562
"La Scala","Italian",1,30,4,"(508) 753-9912","183 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2657031,-71.7853735
"Thai Time","Thai",2,68,3,"(508) 756-7267","107 Highland St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2709104,-71.8068846
"7 Empty & TongÎês Hut","Chinese",2,3,5,"","31 Roxbury St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.269771,-71.81278
"Corner Lunch","Breakfast & Brunch",1,24,4,"(774) 701-0866","133 Lamartine St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2528462,-71.8055863
"Takara Sushi Restaurant","Sushi Bars",2,21,4,"(508) 791-1140","10 Kelley Sq  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2545936,-71.7979687
"BeatnikÎês","Bars",2,13,4,"(508) 926-8877","433 Park Ave  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2559227,-71.8240207
"PePeÎês Pizza","Pizza",2,16,3.5,"(508) 755-1978","274 Franklin St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2601832,-71.7918117
"Dalat Restaurant","Vietnamese",1,116,4,"(508) 753-6036","425 Park Ave  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2562558,-71.8235757
"Wen Hing Restaurant","Restaurants",1,7,4,"(508) 753-6399","106 Lincoln St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2760225,-71.7956942
"7 Nana","Asian Fusion",3,87,3,"(508) 755-8888","60 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2632585,-71.7915022
"Shangri-La","Chinese",2,59,3.5,"(508) 798-0888","50 Front St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2631299,-71.800543
"4 Seasons Grocery and Deli","Grocery",1,7,5,"(774) 823-3136","442 Park Ave  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2556761,-71.8251628
"The Canal Restaurant & Bar","Bars",2,19,3.5,"(508) 926-8353","65 Water St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2567784,-71.795343
"ErnieÎês Pizza","Pizza",1,21,3.5,"(508) 755-3203","80 West St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2681088,-71.8089172
"Dragon Dynasty","Chinese",1,34,3.5,"(508) 755-5588","104 Highland St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.271287,-71.806534
"Jakes Wayback Burger","Burgers",2,35,3.5,"(508) 755-9300","11 Tobias Boland Way  Worcester, MA 01607",1607,47987,47987,8415,"Worcester",42.2313735,-71.7895306
"LoneStar Hut Restaurant","African",1,3,5,"(774) 251-7289","264 Grafton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2561779,-71.788731
"El-Basha","Middle Eastern",2,51,4,"(508) 797-0884","424 Belmont St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2738014,-71.759343
"Park Grill & Spirits","American",2,28,3.5,"(508) 756-7995","257 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2644935,-71.8187404
"Gold Star Restaurant","Sandwiches",1,75,4,"(508) 852-7900","68 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.2908517,-71.8057752
"Yummy Steakhouse","Sushi Bars",2,20,4.5,"(508) 752-1668","1121 Grafton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2418263,-71.7540188
"Caffe Espresso Trattoria","Italian",2,71,3.5,"(508) 767-1818","395 Chandler St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.263581,-71.83138
"La Cucina Italiana","Italian",2,23,4,"(508) 797-3354","294 Hamilton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.256971,-71.769544
"Kenmore Diner","Diners",1,28,3.5,"(508) 792-5125","250 Franklin St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2601447,-71.7931004
"Happy House","Barbeque",2,9,4,"(508) 755-7238","872 Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2534148,-71.8166095
"Paesano Pizzeria","Pizza",2,40,3.5,"(508) 791-1121","1121 Grafton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2418263,-71.7540188
"Texas Roadhouse","Steakhouses",2,78,3.5,"(508) 853-7266","535 Lincoln St, Unit F  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2939777,-71.7744384
"Anh Thu 2","Vietnamese",1,14,3.5,"(508) 796-5333","91 Stafford St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2406427,-71.8413629
"Pho Dakao","Vietnamese",2,106,3.5,"(508) 756-7555","593 Park Ave  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2484834,-71.8320127
"PrimoÎês Ristorante","Italian",2,7,3.5,"(508) 459-8702","106 Green St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2575361,-71.7980386
"The Dogfather","Hot Dogs",1,12,3.5,"(508) 713-3730","84 Holden St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.304493,-71.81746
"El Rincon Criollo","Spanish",1,14,4,"(508) 981-2818","205 Hope Ave  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.231581,-71.833191
"PiccoloÎês","Italian",2,31,3.5,"(508) 754-1057","157 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2649497,-71.7869185
"Homestyle Cuisine","Caribbean",2,4,5,"(508) 795-3307","33 Canterbury St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2496651,-71.8125432
"YaMon","Caribbean",1,22,3.5,"(508) 752-2101","482 Park Ave  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2539159,-71.8270205
"BlanchardÎês 101 Diner","Diners",1,42,3.5,"(508) 798-4070","322 Cambridge St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2433776,-71.8170054
"Wholly Cannoli","Bakeries",1,121,3.5,"(508) 753-0224","490 Grafton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2506894,-71.7801721
"Anokye Krom African American Restaurant","African",2,11,4,"(508) 753-8471","687 Millbury St  Worcester, MA 01607",1607,47987,47987,8415,"Worcester",42.2383922,-71.7979765
"Breens Cafe","Cafes",1,6,4.5,"","22 Cambridge  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.244448,-71.8307449
"Saigon Restaurant","Vietnamese",1,33,3.5,"(508) 799-5250","976 Main St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2491453,-71.8246684
"Auntie DotÎês Pizza","Pizza",1,10,4.5,"(508) 752-9223","244 Grafton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2564017,-71.7892647
"Golden Pita Grill","Middle Eastern",2,29,3.5,"(508) 852-0005","667 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.3148811,-71.7968571
"Pho Bowl","Vietnamese",2,24,3.5,"(508) 757-2695","580 Park Ave  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2487389,-71.8321067
"Loft 266","Sports Bars",2,28,3,"(508) 796-5177","266 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2642698,-71.8196163
"Shiraz Armenian Cuisine","Middle Eastern",2,41,4,"(508) 767-1639","259 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2643401,-71.8189263
"Newton Square Pizza","Pizza",2,24,4,"(508) 752-9907","712 Pleasant St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.269735,-71.825885
"MinÎês Wok","Chinese",2,48,4,"(508) 853-0988","582 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.3113323,-71.7975249
"MariaÎês Kitchen","Caribbean",2,11,4,"(508) 797-3380","826 Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2553172,-71.8131627
"Crown Bakery and Cafe","Bakeries",1,41,4,"(508) 852-0746","133 Gold Star Blvd  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.2927829,-71.8036358
"Harvest Moon II","Chinese",1,9,3.5,"(508) 853-0322","75 W Boylston St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.2913722,-71.8059671
"Regatta Deli","Delis",1,68,4,"(508) 756-6916","28 Lake Ave  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2727746,-71.7594042
"TomÎês International Deli","Caterers",1,22,4,"(508) 755-7295","52 Millbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.253707,-71.79875
"JeanÎês Place","Breakfast & Brunch",1,6,5,"(508) 753-9466","136 Cambridge St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2435402,-71.82542
"Bushel Î•N Peck","Caterers",1,22,3.5,"(508) 799-6305","643 Chandler St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2774843,-71.8530034
"Acoustic Java","Coffee & Tea",1,43,4,"(508) 756-9446","932 Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2510618,-71.8210236
"Fantastic Pizza & Cafe","Pizza",1,27,4.5,"(508) 754-1300","910 Main St  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.251661,-71.820142
"PalmaÎês Bakery","Delis",1,12,4.5,"(508) 798-9942","3 Rice Sq  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2506246,-71.7814312
"The Banner Bar & Grill","Sports Bars",1,27,3,"(508) 755-0879","112 Green St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2573127,-71.7977148
"Kyoto Japanese Restaurant","Japanese",2,64,3.5,"(508) 852-5788","535 Lincoln St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2939777,-71.7744384
"Ol’© Taqueria","Mexican",1,5,4,"(508) 459-1199","118 Water St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2560557,-71.7966599
"Nancy Chang Restaurant","Chinese",2,79,3,"(508) 752-8899","372 Chandler St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2626029,-71.830003
"WeintraubÎês Jewish Delicatessen","Delis",1,28,3.5,"(508) 756-7870","126 Water St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.255709,-71.7967168
"Tatnuck Grille","Sports Bars",2,27,3.5,"(508) 792-0000","638 Chandler St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2769779,-71.8540301
"Ceres Bistro","American",3,105,3.5,"(508) 754-2000","363 Plantation St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2750215,-71.7680084
"Spoodles Deli","Delis",1,22,4,"(508) 755-0800","358 Main St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2652245,-71.8020258
"Blue Jeans Pizza","Pizza",2,78,3,"(508) 753-3777","270 Park Ave  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2640814,-71.819803
"Compass Tavern","Pubs",2,39,2.5,"(508) 304-6044","90 Harding St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.258869,-71.795634
"Five Guys Burgers and Fries","Burgers",1,37,4,"(508) 853-2000","525 Lincoln St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2938009,-71.7711375
"Uno Pizzeria & Grill","Gluten-Free",2,38,3,"(508) 421-9300","25 Major Taylor Blvd.  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2670401,-71.7985515
"PadavanoÎês Place","Italian",2,18,3,"(774) 823-3022","358 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2706546,-71.7772085
