time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-21T10:56:03.180Z,-15.725,-73.8647,72.2,4.7,mb,,161,4.275,1.01,us,us10002knu,2015-06-21T11:14:19.683Z,"77km S of Coracora, Peru",earthquake
2015-06-21T10:37:15.692Z,37.338,-117.1238,15.7748,1.01,ml,9,198.44,0.365,0.0924,nn,nn00499422,2015-06-21T12:35:33.279Z,"42km SSE of Goldfield, Nevada",earthquake
2015-06-21T10:23:07.000Z,62.1777,-147.8169,37.2,1.3,ml,,,,0.82,ak,ak11631301,2015-06-21T10:41:19.715Z,"68km NE of Sutton-Alpine, Alaska",earthquake
2015-06-21T10:09:48.836Z,37.3322,-117.1175,16.9627,1.28,ml,10,100.2,0.358,0.1238,nn,nn00499421,2015-06-21T12:26:34.189Z,"43km SSE of Goldfield, Nevada",earthquake
2015-06-21T10:07:59.000Z,61.24,-149.8923,42,1.2,ml,,,,0.45,ak,ak11631300,2015-06-21T10:41:18.909Z,"2km N of Anchorage, Alaska",earthquake
2015-06-21T10:06:06.330Z,37.4840012,-118.7854996,7.33,1,md,11,157,0.05091,0.01,nc,nc72469941,2015-06-21T10:07:40.130Z,"24km SE of Mammoth Lakes, California",earthquake
2015-06-21T09:59:48.320Z,36.5101667,-118.3603333,3.237,1.32,ml,18,70,0.2365,0.13,ci,ci37405120,2015-06-21T10:03:34.915Z,"27km WSW of Lone Pine, California",earthquake
2015-06-21T09:55:30.130Z,36.5081667,-118.3591667,3.207,1.4,ml,19,70,0.235,0.12,ci,ci37405112,2015-06-21T10:05:50.860Z,"27km WSW of Lone Pine, California",earthquake
2015-06-21T09:36:26.000Z,59.5425,-152.8981,106.2,2.4,ml,,,,0.39,ak,ak11631267,2015-06-21T17:29:39.203Z,"65km WSW of Anchor Point, Alaska",earthquake
2015-06-21T09:35:46.308Z,35.4954,-116.2532,7.6137,1.41,ml,7,210.94,0.275,0.1749,nn,nn00499416,2015-06-21T12:07:59.622Z,"30km NNW of Baker, California",earthquake
2015-06-21T09:33:53.000Z,60.4132,-146.8968,34,1.1,ml,,,,0.25,ak,ak11631265,2015-06-21T09:53:12.091Z,"64km WSW of Cordova, Alaska",earthquake
2015-06-21T09:18:19.620Z,38.8218346,-122.803833,3.16,1.07,md,20,117,0.005118,0.02,nc,nc72469896,2015-06-21T09:19:55.790Z,"6km NW of The Geysers, California",earthquake
2015-06-21T07:36:47.300Z,18.3055,-68.1248,89,3,Md,11,201.6,0.31890193,0.38,pr,pr15172002,2015-06-21T15:39:23.135Z,"42km SE of Punta Cana, Dominican Republic",earthquake
2015-06-21T07:35:41.600Z,19.0825,-66.8933,28,3.1,Md,13,255.6,0.64499037,0.23,pr,pr15172001,2015-06-21T15:38:19.819Z,"65km NNE of Isabela, Puerto Rico",earthquake
2015-06-21T07:27:35.010Z,10.0463,-83.1268,18.06,4.6,mb,,31,0.25,0.97,us,us10002kn7,2015-06-21T15:13:26.830Z,"11km WNW of Puerto Limon, Costa Rica",earthquake
2015-06-21T07:24:20.920Z,38.8161659,-122.8161697,2.88,1.21,md,19,76,0.008648,0.02,nc,nc72469826,2015-06-21T07:25:54.970Z,"6km NW of The Geysers, California",earthquake
2015-06-21T07:20:10.000Z,61.9274,-151.0091,64.2,1.8,ml,,,,0.43,ak,ak11631207,2015-06-21T07:53:26.083Z,"54km WNW of Willow, Alaska",earthquake
2015-06-21T07:08:54.000Z,62.9381,-149.4228,46.5,1.4,ml,,,,0.78,ak,ak11631204,2015-06-21T07:31:38.923Z,"55km SSW of Cantwell, Alaska",earthquake
2015-06-21T06:38:20.000Z,63.2982,-144.7584,3.8,1.4,ml,,,,0.7,ak,ak11631200,2015-06-21T07:07:00.671Z,"67km SSE of Deltana, Alaska",earthquake
2015-06-21T06:33:39.340Z,38.7871666,-122.7631683,1.38,1.38,md,13,86,0.01654,0.05,nc,nc72469776,2015-06-21T06:35:15.540Z,"1km NNW of The Geysers, California",earthquake
2015-06-21T06:15:31.880Z,24.0154,122.4363,29.9,4.8,mb,,103,0.691,0.79,us,us10002kn2,2015-06-21T07:22:42.693Z,"75km SW of Yonakuni, Japan",earthquake
2015-06-21T05:49:34.940Z,19.1544991,-155.5796661,0.62,2.28,md,45,117,0.09705,0.2,hv,hv60964426,2015-06-21T05:52:54.970Z,"11km WSW of Pahala, Hawaii",earthquake
2015-06-21T05:49:22.000Z,62.5323,-151.0573,84.9,1.5,ml,,,,0.53,ak,ak11631181,2015-06-21T17:04:05.935Z,"54km WNW of Talkeetna, Alaska",earthquake
2015-06-21T05:43:46.000Z,63.5627,-147.4954,8.5,1.1,ml,,,,0.46,ak,ak11631178,2015-06-21T06:02:52.365Z,"75km ENE of Cantwell, Alaska",earthquake
2015-06-21T05:40:48.180Z,24.5329,142.2802,40.21,4.7,mb,,81,2.553,0.84,us,us10002kn0,2015-06-21T13:43:21.828Z,"99km ESE of Iwo Jima, Japan",earthquake
2015-06-21T05:30:14.000Z,59.0357,-152.4209,74.6,1.6,ml,,,,0.64,ak,ak11631173,2015-06-21T06:02:51.542Z,"83km SW of Homer, Alaska",earthquake
2015-06-21T04:45:24.870Z,32.9905,-116.2915,6.737,1.03,ml,26,71,0.08147,0.19,ci,ci37405048,2015-06-21T05:22:44.380Z,"23km SW of Ocotillo Wells, California",earthquake
2015-06-21T04:02:46.230Z,32.616,83.2711,10,4.4,mb,,149,8.452,0.81,us,us10002kme,2015-06-21T12:05:19.608Z,"95km WNW of Luring, China",earthquake
2015-06-21T03:37:03.400Z,18.9911,-67.9868,57,3.4,Md,15,241.2,0.60276956,0.5,pr,pr15172000,2015-06-21T11:39:30.188Z,"63km NE of Punta Cana, Dominican Republic",earthquake
2015-06-21T03:20:02.610Z,37.4760017,-118.8433304,8.37,1.53,md,16,175,0.09749,0.03,nc,nc72469691,2015-06-21T12:11:23.785Z,"23km SSE of Mammoth Lakes, California",earthquake
2015-06-21T03:18:02.350Z,19.3153324,-155.1139984,5.29,2.46,ml,43,165,0.0326,0.24,hv,hv60964351,2015-06-21T03:23:43.950Z,"18km SE of Volcano, Hawaii",earthquake
2015-06-21T03:14:46.620Z,39.526165,-121.9716644,21.57,1.83,md,6,96,0.36,0.2,nc,nc72469681,2015-06-21T03:16:20.170Z,"19km E of Willows, California",earthquake
2015-06-21T02:52:21.000Z,61.2236,-150.7036,21.4,1.1,ml,,,,0.41,ak,ak11631157,2015-06-21T03:11:15.326Z,"43km W of Anchorage, Alaska",earthquake
2015-06-21T02:28:24.270Z,38.769165,-122.7156677,2.16,1.61,md,15,91,0.004275,0.05,nc,nc72469666,2015-06-21T02:29:59.860Z,"3km ESE of The Geysers, California",earthquake
2015-06-21T02:22:06.000Z,60.1058,-152.2596,95.5,2.7,ml,,,,0.76,ak,ak11631150,2015-06-21T10:24:49.267Z,"43km NNW of Anchor Point, Alaska",earthquake
2015-06-21T02:20:23.580Z,34.6166667,-118.6323333,7.156,1.32,ml,25,67,0.07522,0.22,ci,ci37405008,2015-06-21T02:25:02.710Z,"14km N of Castaic, California",earthquake
2015-06-21T01:57:54.220Z,36.7263,142.2326,32.93,4.3,mb,,120,1.62,1.19,us,us10002km0,2015-06-21T10:00:35.711Z,"125km ESE of Iwaki, Japan",earthquake
2015-06-21T01:41:19.630Z,19.5221672,-155.6043396,8.96,1.79,ml,31,108,0.02968,0.2,hv,hv60964331,2015-06-21T01:47:01.940Z,"28km ENE of Honaunau-Napoopoo, Hawaii",earthquake
2015-06-21T01:28:18.270Z,36.5952,70.8094,220.87,4.1,mb,,108,0.561,0.33,us,us10002klv,2015-06-21T09:31:02.977Z,"29km S of Jarm, Afghanistan",earthquake
2015-06-21T00:58:56.250Z,35.7711,-97.4142,5.45,3.1,mb_lg,,39,0.041,0.44,us,us10002kls,2015-06-21T01:49:08.335Z,"12km S of Guthrie, Oklahoma",earthquake
2015-06-21T00:58:04.000Z,59.5639,-151.3658,41.4,2.2,ml,,,,0.86,ak,ak11631133,2015-06-21T01:32:12.366Z,"13km SE of Homer, Alaska",earthquake
2015-06-21T00:31:13.940Z,38.8188324,-122.7634964,2.56,1.05,md,14,80,0.01266,0.04,nc,nc72469611,2015-06-21T00:32:50.010Z,"3km W of Cobb, California",earthquake
2015-06-21T00:09:57.700Z,34.0461667,-117.2693333,16.257,1.11,ml,30,71,0.06103,0.18,ci,ci37404968,2015-06-21T00:14:08.683Z,"1km WSW of Loma Linda, California",earthquake
2015-06-21T00:06:51.760Z,32.933,-115.5148333,5.235,1.16,ml,14,107,0.04978,0.27,ci,ci37404960,2015-06-21T00:10:48.171Z,"5km SSE of Brawley, California",earthquake
2015-06-20T23:26:26.560Z,49.3308333,-120.4761667,0.02,2.11,md,5,153,0.5625,0.48,uw,uw61042606,2015-06-21T01:53:16.580Z,"14km S of Princeton, Canada",explosion
2015-06-20T23:01:47.530Z,38.7698326,-122.7115021,2.85,1.5,md,10,112,0.005645,0.03,nc,nc72469581,2015-06-20T23:03:24.370Z,"3km ESE of The Geysers, California",earthquake
2015-06-20T22:55:43.000Z,61.1981,-147.8089,20.7,1.9,ml,,,,0.85,ak,ak11630998,2015-06-20T23:29:39.018Z,"66km NE of Whittier, Alaska",earthquake
2015-06-20T22:54:51.000Z,64.9689,-147.3331,0,1.2,ml,,,,0.6,ak,ak11630997,2015-06-20T23:29:38.417Z,"21km NNE of Badger, Alaska",earthquake
2015-06-20T22:38:49.000Z,59.5008,-152.8942,40.8,1.7,ml,,,,0.87,ak,ak11630995,2015-06-20T23:05:00.234Z,"67km WSW of Anchor Point, Alaska",earthquake
2015-06-20T22:34:57.090Z,36.6618347,-120.8553314,0.16,2.07,md,18,81,0.0502,0.13,nc,nc72469576,2015-06-20T22:36:34.180Z,"38km SSW of South Dos Palos, California",earthquake
2015-06-20T22:10:49.230Z,34.9768333,-118.5628333,4.621,1.45,ml,15,65,0.1077,0.18,ci,ci37404920,2015-06-20T22:15:05.052Z,"20km SSW of Tehachapi, California",earthquake
2015-06-20T22:02:16.900Z,18.7147,-66.9235,14,2.8,Md,9,237.6,0.30273225,0.2,pr,pr15171005,2015-06-21T06:04:57.793Z,"25km NNE of Isabela, Puerto Rico",earthquake
2015-06-20T22:00:17.880Z,38.8175011,-122.8266678,3.03,1.05,md,15,82,0.008608,0.03,nc,nc72469571,2015-06-20T22:01:54.940Z,"7km NW of The Geysers, California",earthquake
2015-06-20T21:58:26.000Z,62.1015,-145.5558,24.6,1,ml,,,,0.26,ak,ak11630885,2015-06-20T22:19:08.997Z,"0km SSW of Glennallen, Alaska",earthquake
2015-06-20T21:46:59.000Z,61.2153,-150.6532,60.1,1.1,ml,,,,0.24,ak,ak11630883,2015-06-20T22:19:08.201Z,"40km W of Anchorage, Alaska",earthquake
2015-06-20T21:39:36.330Z,32.953,-116.4038333,12.135,1.09,ml,29,60,0.06278,0.23,ci,ci37404880,2015-06-20T21:43:55.990Z,"19km NE of Pine Valley, California",earthquake
2015-06-20T21:12:51.920Z,36.6601677,-120.8413315,4.3,1.45,md,10,147,0.03903,0.06,nc,nc72469541,2015-06-20T21:14:29.750Z,"37km SSW of South Dos Palos, California",earthquake
2015-06-20T21:07:02.530Z,35.7736,-97.4301,7.84,2.9,mb_lg,,39,0.03,0.54,us,us10002kkk,2015-06-21T15:41:23.700Z,"11km S of Guthrie, Oklahoma",earthquake
2015-06-20T20:54:12.490Z,38.8193321,-122.8193359,3.23,1.1,md,15,81,0.008295,0.03,nc,nc72469531,2015-06-20T20:55:48.490Z,"7km NW of The Geysers, California",earthquake
2015-06-20T20:48:07.000Z,61.0265,-151.94,102.3,2.2,ml,,,,0.75,ak,ak11630772,2015-06-20T21:09:14.310Z,"51km NW of Nikiski, Alaska",earthquake
2015-06-20T20:43:55.000Z,63.595,-147.4724,110.2,1.3,ml,,,,0.66,ak,ak11630770,2015-06-20T21:09:16.383Z,"77km ENE of Cantwell, Alaska",earthquake
2015-06-20T20:30:36.000Z,61.3578,-146.7903,21.9,2.1,ml,,,,0.8,ak,ak11630764,2015-06-20T21:09:15.495Z,"34km NW of Valdez, Alaska",earthquake
2015-06-20T20:24:43.000Z,60.2819,-151.2284,49.8,1.9,ml,,,,0.35,ak,ak11630759,2015-06-20T20:45:01.314Z,"10km SSE of Cohoe, Alaska",earthquake
2015-06-20T20:22:14.730Z,34.696,-116.2438333,3.817,2.56,ml,23,60,0.07729,0.16,ci,ci37404840,2015-06-21T04:24:40.675Z,"8km WSW of Ludlow, California",earthquake
2015-06-20T19:52:45.480Z,34.3658,26.1883,23.71,5,mb,,45,1.409,0.8,us,us10002kjx,2015-06-21T03:55:23.135Z,"77km SSE of Makry Gialos, Greece",earthquake
2015-06-20T19:32:17.380Z,10.8104,-86.6494,31.54,4.5,mb,,187,1.04,0.63,us,us10002kjp,2015-06-21T03:34:51.301Z,"98km WSW of San Juan del Sur, Nicaragua",earthquake
2015-06-20T18:43:52.000Z,61.9108,-151.3452,72.8,1.4,ml,,,,0.58,ak,ak11630644,2015-06-20T19:13:27.897Z,"71km WNW of Willow, Alaska",earthquake
2015-06-20T18:41:10.000Z,63.0786,-151.5122,10.7,1.9,ml,,,,0.65,ak,ak11630642,2015-06-20T19:13:27.101Z,"110km NW of Talkeetna, Alaska",earthquake
2015-06-20T18:28:52.000Z,62.1212,-150.0513,13.1,2.2,ml,,,,0.77,ak,ak11630538,2015-06-20T18:50:09.464Z,"11km WSW of Y, Alaska",earthquake
2015-06-20T18:14:30.440Z,38.8343315,-122.7754974,2.97,1.18,md,18,62,0.005821,0.03,nc,nc72469471,2015-06-20T18:16:03.360Z,"4km WNW of Cobb, California",earthquake
2015-06-20T17:48:30.000Z,55.1102,-157.0227,42.2,2.7,ml,,,,0.36,ak,ak11630537,2015-06-21T01:51:12.307Z,"119km SW of Chirikof Island, Alaska",earthquake
2015-06-20T17:39:03.610Z,39.2636681,-123.2286682,6.25,1.91,md,8,175,0.08066,0.04,nc,nc72469461,2015-06-20T17:40:38.060Z,"2km W of Redwood Valley, California",earthquake
2015-06-20T17:34:51.400Z,33.0355,-115.9078333,5.06,1.39,ml,29,63,0.1079,0.28,ci,ci37404744,2015-06-20T17:38:53.941Z,"24km ESE of Ocotillo Wells, California",earthquake
2015-06-20T17:30:21.060Z,19.2796669,-155.0608368,44.24,2.54,ml,58,224,0.06476,0.15,hv,hv60964166,2015-06-21T01:32:56.919Z,"25km SE of Volcano, Hawaii",earthquake
2015-06-20T16:47:47.000Z,32.9783333,-115.896,9.126,1.49,ml,28,88,0.08735,0.21,ci,ci37404704,2015-06-20T16:51:54.152Z,"26km WSW of Westmorland, California",earthquake
2015-06-20T16:45:23.970Z,34.5455,-117.3125,0.032,1.18,ml,24,100,0.02068,0.28,ci,ci37404680,2015-06-20T16:49:31.910Z,"2km WNW of Victorville, California",earthquake
2015-06-20T16:24:30.830Z,19.3740005,-154.9801636,7.37,2.41,ml,56,204,0.06367,0.34,hv,hv60964161,2015-06-20T16:30:30.330Z,"12km SSW of Leilani Estates, Hawaii",earthquake
2015-06-20T16:22:17.400Z,34.6891667,-116.2853333,2.958,1.31,ml,12,63,0.1106,0.19,ci,ci37404648,2015-06-20T16:26:00.209Z,"12km WSW of Ludlow, California",earthquake
2015-06-20T16:21:32.520Z,46.7941667,-120.5446667,8.225,1.44,md,13,87,0.1165,0.14,uw,uw61042426,2015-06-21T01:57:26.910Z,"15km N of Selah, Washington",earthquake
2015-06-20T16:15:06.020Z,35.8276667,-118.5336667,0.222,1.04,ml,15,62,0.09183,0.23,ci,ci37404640,2015-06-20T16:19:08.605Z,"13km NW of Kernville, California",earthquake
2015-06-20T15:51:25.410Z,37.998333,-122.2494965,7.04,1.63,md,24,49,0.02838,0.1,nc,nc72469431,2015-06-20T15:52:58.370Z,"4km ESE of Hercules, California",earthquake
2015-06-20T15:24:18.000Z,60.076,-152.7352,102.5,2.2,ml,,,,0.74,ak,ak11630358,2015-06-20T15:47:07.136Z,"45km S of Redoubt Volcano, Alaska",earthquake
2015-06-20T15:17:34.000Z,60.743,-151.7264,51,1.6,ml,,,,0.77,ak,ak11630356,2015-06-20T15:47:06.292Z,"24km WNW of Nikiski, Alaska",earthquake
2015-06-20T14:49:40.350Z,25.6247,142.5997,28.62,4.5,mb,,162,1.511,0.94,us,us10002ki1,2015-06-20T22:52:20.744Z,"158km NE of Iwo Jima, Japan",earthquake
2015-06-20T14:40:28.620Z,44.3552,-65.3994,14.98,2.2,mb_lg,,189,1.268,0.53,us,us10002km5,2015-06-21T02:48:07.040Z,"41km SE of Digby, Canada",earthquake
2015-06-20T14:22:30.180Z,32.7236667,-115.478,5.723,1.42,ml,18,164,0.08557,0.23,ci,ci37404584,2015-06-20T15:25:47.899Z,"5km E of Heber, California",earthquake
2015-06-20T14:18:59.770Z,-36.1933,-73.6444,17.75,4.5,mb,,154,1.829,0.95,us,us10002ki0,2015-06-20T16:19:18.040Z,"74km NW of Talcahuano, Chile",earthquake
2015-06-20T14:15:31.370Z,36.0625,-120.2478333,13.77,2.29,md,29,109,0.1057,0.06,nc,nc72469411,2015-06-20T22:18:12.986Z,"12km WNW of Avenal, California",earthquake
2015-06-20T14:11:06.630Z,36.0571671,-120.2498322,12.27,2.03,md,12,189,0.1137,0.02,nc,nc72469401,2015-06-20T14:12:43.830Z,"12km WNW of Avenal, California",earthquake
2015-06-20T14:04:45.050Z,36.6288338,-121.0853348,9.01,1.19,md,9,134,0.04756,0.07,nc,nc72469396,2015-06-20T14:06:18.750Z,"31km NE of Soledad, California",earthquake
2015-06-20T13:50:44.210Z,25.6761,142.8404,33.76,4.8,mb,,148,1.531,0.71,us,us10002khx,2015-06-20T21:53:24.179Z,"167km SSE of Chichi-shima, Japan",earthquake
2015-06-20T13:08:22.330Z,34.362,-116.4631667,2.973,1.12,ml,14,82,0.09695,0.23,ci,ci37404552,2015-06-20T13:12:17.160Z,"28km N of Yucca Valley, California",earthquake
2015-06-20T13:02:39.000Z,61.3347,-150.6336,51.5,2,ml,,,,0.65,ak,ak11630181,2015-06-20T13:23:33.659Z,"41km WNW of Anchorage, Alaska",earthquake
2015-06-20T12:53:31.150Z,38.7781677,-122.7521667,1.06,1.31,md,7,136,0.01296,0.02,nc,nc72469376,2015-06-20T12:55:48.290Z,"0km ENE of The Geysers, California",earthquake
2015-06-20T12:52:48.000Z,62.4583,-150.8839,19.7,1.2,ml,,,,0.4,ak,ak11630172,2015-06-20T13:23:32.136Z,"42km WNW of Talkeetna, Alaska",earthquake
2015-06-20T12:36:51.830Z,34.1666667,-117.2575,3.144,1.2,ml,44,51,0.03788,0.21,ci,ci37404544,2015-06-20T12:47:21.160Z,"5km NE of San Bernardino, California",earthquake
2015-06-20T12:30:17.740Z,37.6538315,-118.8258362,4.81,1.46,md,15,106,0.02614,0.04,nc,nc72469346,2015-06-20T12:31:54.070Z,"12km E of Mammoth Lakes, California",earthquake
2015-06-20T12:23:05.940Z,28.5942,82.643,10,4.7,mb,,128,8.747,0.6,us,us10002khh,2015-06-20T16:08:44.634Z,"52km ENE of Salyan, Nepal",earthquake
2015-06-20T12:01:57.781Z,38.2931,-119.2625,13.2154,1.03,ml,8,88.9,0.249,0.1563,nn,nn00499347,2015-06-21T02:38:58.451Z,"4km NNW of Bridgeport, California",earthquake
2015-06-20T11:51:37.580Z,38.2903328,-119.2553329,12.17,1.72,md,11,126,0.2449,0.07,nc,nc72469316,2015-06-21T02:38:47.284Z,"5km NNW of Bridgeport, California",earthquake
2015-06-20T11:50:11.000Z,60.2715,-151.1612,56.9,1.5,ml,,,,0.49,ak,ak11630100,2015-06-20T12:10:06.589Z,"13km SE of Cohoe, Alaska",earthquake
2015-06-20T11:47:45.910Z,33.8606667,-118.0405,1.56,1.3,ml,11,123,0.04802,0.19,ci,ci37404520,2015-06-20T11:51:59.202Z,"2km NNE of La Palma, California",earthquake
2015-06-20T11:42:01.850Z,15.0713,119.5827,43.72,4.8,mb,,94,2.605,0.72,us,us10002khc,2015-06-20T19:44:33.969Z,"50km WSW of Purac, Philippines",earthquake
2015-06-20T11:21:16.160Z,35.7637,-97.3801,8.5,3.6,mb_lg,,55,0.069,0.42,us,us10002kh9,2015-06-21T00:15:04.094Z,"13km SSE of Guthrie, Oklahoma",earthquake
2015-06-20T10:56:03.220Z,35.7628,-97.4092,7.52,3.5,mb_lg,,59,0.05,0.32,us,us10002kgz,2015-06-21T00:17:41.473Z,"12km S of Guthrie, Oklahoma",earthquake
2015-06-20T10:41:04.990Z,36.0055008,-120.567337,5,2.64,md,70,45,0.02522,0.08,nc,nc72469291,2015-06-20T18:43:35.331Z,"23km SW of Coalinga, California",earthquake
2015-06-20T10:16:36.000Z,63.1821,-151.3223,0,1.4,ml,,,,0.59,ak,ak11629991,2015-06-20T10:41:05.202Z,"113km NNW of Talkeetna, Alaska",earthquake
2015-06-20T09:47:43.000Z,60.2688,-141.1501,17.1,1,ml,,,,0.21,ak,ak11629988,2015-06-20T10:18:30.887Z,"74km ENE of Cape Yakataga, Alaska",earthquake
2015-06-20T09:33:48.220Z,34.701,-116.245,3.703,1.69,ml,19,61,0.07922,0.22,ci,ci37404480,2015-06-20T09:37:41.435Z,"8km WSW of Ludlow, California",earthquake
2015-06-20T09:33:05.000Z,18.104,-66.9759,13,2.5,Md,10,104.4,0.12666246,0.1,pr,pr15171003,2015-06-20T17:35:48.522Z,"3km NNW of Sabana Grande, Puerto Rico",earthquake
2015-06-20T09:30:14.000Z,61.5738,-146.395,26.8,1.4,ml,,,,0.85,ak,ak11629986,2015-06-20T09:55:05.654Z,"49km N of Valdez, Alaska",earthquake
2015-06-20T09:26:53.230Z,36.7944984,-121.5231705,6.51,2.22,md,49,37,0.03004,0.08,nc,nc72469271,2015-06-20T10:24:04.116Z,"5km SSE of San Juan Bautista, California",earthquake
2015-06-20T09:06:31.600Z,34.055,-117.2546667,15.057,1.8,ml,87,20,0.06396,0.22,ci,ci37404472,2015-06-20T09:17:21.480Z,"1km NE of Loma Linda, California",earthquake
2015-06-20T09:05:07.000Z,62.2561,-150.7261,61,2,ml,,,,0.57,ak,ak11629982,2015-06-20T09:31:11.433Z,"32km WSW of Talkeetna, Alaska",earthquake
2015-06-20T08:59:43.320Z,36.7956657,-121.5240021,6.4,2.18,md,40,39,0.02966,0.07,nc,nc72469241,2015-06-20T09:57:06.045Z,"5km SSE of San Juan Bautista, California",earthquake
2015-06-20T08:58:26.260Z,35.2416667,-119.4678333,0.004,2.11,ml,31,88,0.2104,0.26,ci,ci37404464,2015-06-20T09:09:12.030Z,"11km N of Taft, California",earthquake
2015-06-20T08:55:18.020Z,38.8306656,-122.795166,2.07,1.59,md,28,42,0.008601,0.04,nc,nc72469236,2015-06-20T08:56:52.440Z,"6km W of Cobb, California",earthquake
2015-06-20T08:36:27.300Z,18.1823,-66.3345,7,2.2,Md,11,108,0.25601986,0.25,pr,pr15171004,2015-06-20T12:17:24.254Z,"3km W of Barranquitas, Puerto Rico",earthquake
2015-06-20T08:19:08.000Z,60.2108,-152.0895,80.4,1.1,ml,,,,1.25,ak,ak11629932,2015-06-20T08:45:23.373Z,"46km WSW of Cohoe, Alaska",earthquake
2015-06-20T08:10:03.490Z,19.3703327,-155.3110046,24.64,2.4,ml,60,35,0.02447,0.2,hv,hv60964061,2015-06-20T16:12:36.517Z,"10km SW of Volcano, Hawaii",earthquake
2015-06-20T07:58:44.680Z,33.0588333,-115.586,5.733,1.26,ml,15,98,0.0208,0.22,ci,ci37404456,2015-06-20T08:02:50.587Z,"4km NE of Westmorland, California",earthquake
2015-06-20T07:44:14.740Z,25.4969,141.4892,25.98,4.5,mb,,86,1.71,0.79,us,us10002kg6,2015-06-20T15:46:45.319Z,"80km N of Iwo Jima, Japan",earthquake
2015-06-20T07:25:20.000Z,62.1091,-147.772,32.5,1.7,ml,,,,1.18,ak,ak11629883,2015-06-20T07:59:13.449Z,"66km ENE of Sutton-Alpine, Alaska",earthquake
2015-06-20T06:46:05.740Z,35.7586,-97.3986,5,2.8,mb_lg,,57,0.059,0.41,us,us10002kft,2015-06-20T14:45:42.688Z,"13km NNE of Edmond, Oklahoma",earthquake
2015-06-20T06:26:01.420Z,35.9143,-97.2601,6.47,3,mb_lg,,42,0.197,0.4,us,us10002kfr,2015-06-20T14:46:08.456Z,"3km S of Langston, Oklahoma",earthquake
2015-06-20T06:25:56.000Z,61.8144,-149.0693,0.3,1.9,ml,,,,0.73,ak,ak11629833,2015-06-20T06:49:50.984Z,"11km NE of Fishhook, Alaska",earthquake
