address,description,lat,lon,media_url,requested_datetime,service_code,service_name,service_request_id,status,status_notes,token,updated_datetime
"226 W 5th St, Boston",Needs to be cut out and patched.,42.33621532,-71.05026363,https://mayors24.cityofboston.gov/attachments/report/4cd44a5521ecf37018008af1/photo/pothole.jpg,10/8/10 8:34,4e658b2821ecf3e0a9000029,Pothole,101000188513,closed,case existed and was completed and closed; #188515,4cd44a5521ecf37018008af1,10/13/10 7:18
"226 W 5th St, Boston",Needs to be cut out and patched.,42.33621532,-71.05026363,https://mayors24.cityofboston.gov/attachments/report/4cd44a5621ecf37018008af7/photo/pothole.jpg,10/8/10 8:37,4e658b2821ecf3e0a9000029,Pothole,101000188515,closed,Upon inspection found hole and patched it.job complete.,4cd44a5621ecf37018008af7,10/12/10 15:27
N42.36 E71.07,99 Myrtle street. New door buzzer installed with no BHAC approval. Please forward to Environment Dept. ,42.35931689,-71.06810298,https://mayors24.cityofboston.gov/attachments/report/4cd4432721ecf37018001a35/photo/miscellaneous.jpg,10/8/10 9:49,4e658b2821ecf3e0a900003e,Other,101000188566,open,,4cd4432721ecf37018001a35,10/8/10 9:49
"57 Salem St, Boston",,42.36317682,-71.05621023,https://mayors24.cityofboston.gov/attachments/report/4cd44a5621ecf37018008afd/photo/pothole.jpg,10/11/10 7:57,4e658b2821ecf3e0a9000029,Pothole,101000189107,closed,,4cd44a5621ecf37018008afd,10/14/10 15:29
"18-32 N Bennet St, Boston",Abandoned monitor,42.36531618,-71.05441382,https://mayors24.cityofboston.gov/attachments/report/4cd44a5721ecf37018008b03/photo/miscellaneous.jpg,10/11/10 8:07,4e658b2821ecf3e0a900003e,Other,101000189108,closed,,4cd44a5721ecf37018008b03,10/12/10 7:36
"43-99 Tileston St, Boston",Abandoned air conditioner,42.36608299,-71.0547591,https://mayors24.cityofboston.gov/attachments/report/4cd44a5721ecf37018008b09/photo/miscellaneous.jpg,10/11/10 8:09,4e658b2821ecf3e0a900003e,Other,101000189109,closed,Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a5721ecf37018008b09,10/12/10 7:34
"15-15A Tileston St, Boston",,42.36542108,-71.05361111,https://mayors24.cityofboston.gov/attachments/report/4cd44a5821ecf37018008b0f/photo/pothole.jpg,10/11/10 8:10,4e658b2821ecf3e0a9000029,Pothole,101000189110,closed,,4cd44a5821ecf37018008b0f,10/12/10 7:34
"87 Marlborough St, Boston",Rear alley # 418,42.35385857,-71.07623503,https://mayors24.cityofboston.gov/attachments/report/4cd44a5821ecf37018008b15/photo/pothole.jpg,10/11/10 8:29,4e658b2821ecf3e0a9000029,Pothole,101000189111,closed,,4cd44a5821ecf37018008b15,10/14/10 15:29
"87-99 Congress St, Boston",On Congress at 28 State ,42.359305,-71.05680995,https://mayors24.cityofboston.gov/attachments/report/4cd44a5921ecf37018008b1b/photo/pothole.jpg,10/11/10 9:04,4e658b2821ecf3e0a9000029,Pothole,101000189115,closed,,4cd44a5921ecf37018008b1b,10/13/10 7:52
"317 Commonwealth Ave, Boston",Rear alley # 429,42.35010248,-71.08699601,https://mayors24.cityofboston.gov/attachments/report/4cd44a5921ecf37018008b21/photo/pothole.jpg,10/11/10 9:29,4e658b2821ecf3e0a9000029,Pothole,101000189119,closed,,4cd44a5921ecf37018008b21,10/14/10 15:29
"103 W Broadway, Boston",In front of  Police Station,42.34141711,-71.05515629,https://mayors24.cityofboston.gov/attachments/report/4cd44a5a21ecf37018008b27/photo/pothole.jpg,10/11/10 9:56,4e658b2821ecf3e0a9000029,Pothole,101000189127,open,,4cd44a5a21ecf37018008b27,10/11/10 9:57
"SW Corridor Park, Boston",Exposed electrical panel,42.32269319,-71.10051881,https://mayors24.cityofboston.gov/attachments/report/4cd44dc121ecf3701800c58a/photo/streetlight.jpg,10/11/10 12:09,4e658b2821ecf3e0a900002b,Streetlight,101000189157,closed,,4cd44dc121ecf3701800c58a,10/12/10 15:05
"44 Mt Vernon St, Boston",Loose manhole cover. Rocks when cars drive over. ,42.35823472,-71.06651496,https://mayors24.cityofboston.gov/attachments/report/4cd4432821ecf37018001a3b/photo/miscellaneous.jpg,10/12/10 16:20,4e658b2821ecf3e0a900003e,Other,101000189672,closed,,4cd4432821ecf37018001a3b,10/14/10 11:43
"25-49 Congress St, Boston",The paint is coming off the stop light right by city hall ,42.36029202,-71.05729328,https://mayors24.cityofboston.gov/attachments/report/4cd445e121ecf370180047c2/photo/miscellaneous.jpg,10/12/10 19:19,4e658b2821ecf3e0a900003e,Other,101000189698,closed,,4cd445e121ecf370180047c2,10/18/10 7:33
"201 Main St, Boston",,42.37620105,-71.06531721,https://mayors24.cityofboston.gov/attachments/report/4cd44a5a21ecf37018008b2d/photo/pothole.jpg,10/13/10 10:55,4e658b2821ecf3e0a9000029,Pothole,101000189869,closed,fRANK,4cd44a5a21ecf37018008b2d,10/16/10 7:10
"11 Walker St, Boston",,42.37850741,-71.06736482,https://mayors24.cityofboston.gov/attachments/report/4cd44a5b21ecf37018008b33/photo/pothole.jpg,10/13/10 11:12,4e658b2821ecf3e0a9000029,Pothole,101000189875,closed,,4cd44a5b21ecf37018008b33,10/16/10 7:01
"2 Spruce St, Boston",Abandoned tree pit. Please rebrick. 2 x 4 feet. ,42.35734678,-71.06793308,https://mayors24.cityofboston.gov/attachments/report/4cd4432821ecf37018001a41/photo/miscellaneous.jpg,10/13/10 12:25,4e658b2821ecf3e0a900003e,Other,101000189918,closed,area was inspected by AJ Allen and there was no damage found,4cd4432821ecf37018001a41,10/29/10 9:09
"76 Lucerne St, Boston",Utility box,42.28689897,-71.08827619,https://mayors24.cityofboston.gov/attachments/report/4cd44dc121ecf3701800c590/photo/graffiti.jpg,10/13/10 13:44,4e658b2821ecf3e0a900002f,Graffiti,101000189972,closed,resolved: graffiti has been removed from this location,4cd44dc121ecf3701800c590,11/10/10 13:56
"1049-1055 Blue Hill Ave, Boston",,42.28860665,-71.09008574,https://mayors24.cityofboston.gov/attachments/report/4cd44dc221ecf3701800c596/photo/graffiti.jpg,10/13/10 13:57,4e658b2821ecf3e0a900002f,Graffiti,101000189983,open,,4cd44dc221ecf3701800c596,10/13/10 13:57
"255 Perham St, Boston",,42.2872422,-71.16926833,https://mayors24.cityofboston.gov/attachments/report/4cd44a5c21ecf37018008b39/photo/pothole.jpg,10/18/10 8:51,4e658b2821ecf3e0a9000029,Pothole,101000191217,closed,made safe,4cd44a5c21ecf37018008b39,10/19/10 11:31
"113-131 Lasell St, Boston",,42.28885389,-71.16673312,https://mayors24.cityofboston.gov/attachments/report/4cd44a5c21ecf37018008b3f/photo/pothole.jpg,10/18/10 8:53,4e658b2821ecf3e0a9000029,Pothole,101000191220,closed,Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a5c21ecf37018008b3f,10/19/10 11:31
"113-131 Lasell St, Boston",,42.28885389,-71.16673312,https://mayors24.cityofboston.gov/attachments/report/4cd44a5d21ecf37018008b45/photo/pothole.jpg,10/18/10 9:29,4e658b2821ecf3e0a9000029,Pothole,101000191250,closed,made safe,4cd44a5d21ecf37018008b45,10/20/10 13:49
"28 Gordon Ave, Boston",Street cleaning; abandoned rug.,42.25646978,-71.1263322,https://mayors24.cityofboston.gov/attachments/report/4cd44a5e21ecf37018008b51/photo/miscellaneous.jpg,10/18/10 10:10,4e658b2821ecf3e0a900003e,Other,101000191294,closed,Carpet at this location was picked at 8:45am.,4cd44a5e21ecf37018008b51,10/19/10 8:50
N42.28 E71.10,Street sign down,42.27930521,-71.09952999,https://mayors24.cityofboston.gov/attachments/report/4cd44a5e21ecf37018008b57/photo/miscellaneous.jpg,10/18/10 10:52,4e658b2821ecf3e0a900003e,Other,101000191319,open,,4cd44a5e21ecf37018008b57,10/18/10 10:53
"2 Thane St, Boston",Traffic sign down.,42.29491835,-71.07567157,https://mayors24.cityofboston.gov/attachments/report/4cd44a5f21ecf37018008b5d/photo/miscellaneous.jpg,10/18/10 11:17,4e658b2821ecf3e0a900003e,Other,101000191340,closed,,4cd44a5f21ecf37018008b5d,10/20/10 11:03
"7-11 Wabeno St, Boston",,42.3150541,-71.08676843,https://mayors24.cityofboston.gov/attachments/report/4cd44a5f21ecf37018008b63/photo/pothole.jpg,10/18/10 12:14,4e658b2821ecf3e0a9000029,Pothole,101000191385,closed,Patched,4cd44a5f21ecf37018008b63,10/20/10 7:12
"97-199 Jamaica St, Boston",,42.30506892,-71.11629288,https://mayors24.cityofboston.gov/attachments/report/4cd44a6021ecf37018008b69/photo/miscellaneous.jpg,10/18/10 12:43,4e658b2821ecf3e0a900003e,Other,101000191404,closed,,4cd44a6021ecf37018008b69,10/27/10 8:10
"16-98 Wise St, Boston",Broken lamp and filled with debris ,42.32189952,-71.10168915,https://mayors24.cityofboston.gov/attachments/report/4cd44dc221ecf3701800c59c/photo/streetlight.jpg,10/19/10 8:14,4e658b2821ecf3e0a900002b,Streetlight,101000191670,closed,completed 10/22/10,4cd44dc221ecf3701800c59c,10/22/10 15:04
"41 Hartford St, Boston",,42.31550791,-71.07315013,https://mayors24.cityofboston.gov/attachments/report/4cd44a6021ecf37018008b6f/photo/pothole.jpg,10/20/10 8:47,4e658b2821ecf3e0a9000029,Pothole,101000192131,closed,patched,4cd44a6021ecf37018008b6f,10/20/10 14:44
N42.31 E71.08,Abandoned; street cleaning,42.31443292,-71.07765206,https://mayors24.cityofboston.gov/attachments/report/4cd44a6121ecf37018008b75/photo/miscellaneous.jpg,10/20/10 8:50,4e658b2821ecf3e0a900003e,Other,101000192135,closed,THIS HAS BEEN COLLECTED.,4cd44a6121ecf37018008b75,10/21/10 2:03
"18-38 Woodcliff St, Boston",Abandoned; street cleaning,42.31597402,-71.07659025,https://mayors24.cityofboston.gov/attachments/report/4cd44a6121ecf37018008b7b/photo/miscellaneous.jpg,10/20/10 8:52,4e658b2821ecf3e0a900003e,Other,101000192137,closed,picked up tv,4cd44a6121ecf37018008b7b,10/20/10 14:47
"2-26 Dromey St, Boston",Sign down; on school property,42.31843923,-71.07531,https://mayors24.cityofboston.gov/attachments/report/4cd44a6221ecf37018008b81/photo/miscellaneous.jpg,10/20/10 9:02,4e658b2821ecf3e0a900003e,Other,101000192143,closed,,4cd44a6221ecf37018008b81,11/2/10 12:33
"159 Howard Ave, Boston",,42.31489735,-71.07543255,https://mayors24.cityofboston.gov/attachments/report/4cd44a6221ecf37018008b87/photo/pothole.jpg,10/20/10 9:04,4e658b2821ecf3e0a9000029,Pothole,101000192146,closed,patched,4cd44a6221ecf37018008b87,10/20/10 14:44
N42.29 E71.13,,42.29229439,-71.13410986,https://mayors24.cityofboston.gov/attachments/report/4cd44a6321ecf37018008b8d/photo/pothole.jpg,10/20/10 9:31,4e658b2821ecf3e0a9000029,Pothole,101000192156,closed,made safe,4cd44a6321ecf37018008b8d,10/21/10 7:24
N42.34 E71.14,,42.3437406,-71.14150757,https://mayors24.cityofboston.gov/attachments/report/4cd44a6321ecf37018008b93/photo/pothole.jpg,10/20/10 10:07,4e658b2821ecf3e0a9000029,Pothole,101000192181,closed,hole has been patched and made safe,4cd44a6321ecf37018008b93,10/20/10 15:00
N42.34 E71.14,,42.34275423,-71.14161975,https://mayors24.cityofboston.gov/attachments/report/4cd44a6321ecf37018008b99/photo/pothole.jpg,10/20/10 10:08,4e658b2821ecf3e0a9000029,Pothole,101000192182,closed,,4cd44a6321ecf37018008b99,10/20/10 14:59
"96 Corey Rd, Boston",,42.3414698,-71.1419419,https://mayors24.cityofboston.gov/attachments/report/4cd44a6421ecf37018008b9f/photo/pothole.jpg,10/20/10 10:09,4e658b2821ecf3e0a9000029,Pothole,101000192184,closed,holes have been patched,4cd44a6421ecf37018008b9f,10/20/10 14:58
N42.35 E71.14,,42.34617899,-71.13754989,https://mayors24.cityofboston.gov/attachments/report/4cd44a6521ecf37018008ba5/photo/pothole.jpg,10/20/10 10:52,4e658b2821ecf3e0a9000029,Pothole,101000192225,closed,hole has been patch and made safe,4cd44a6521ecf37018008ba5,10/20/10 14:57
N42.35 E71.07,Two park lights out between the ball field and the burying ground in the common.  ,42.35330304,-71.06604359,https://mayors24.cityofboston.gov/attachments/report/4cd448a721ecf37018007669/photo/miscellaneous.jpg,10/21/10 20:44,4e658b2821ecf3e0a900003e,Other,101000192963,closed,Case Resolved.,4cd448a721ecf37018007669,12/28/11 12:05
N42.36 E71.06,Park light out in common between brewer fountain and park street headhouses,42.35625997,-71.06256853,https://mayors24.cityofboston.gov/attachments/report/4cd448a821ecf3701800766f/photo/streetlight.jpg,10/22/10 18:16,4e658b2821ecf3e0a900002b,Streetlight,101000193318,closed,completed 11/02/10,4cd448a821ecf3701800766f,11/4/10 7:34
"919-925 Lagrange St, Boston",Street light out for 2 months; Pole outside 949 Lagrange,42.29575148,-71.1717022,https://mayors24.cityofboston.gov/attachments/report/4cd44a5d21ecf37018008b4b/photo/streetlight.jpg,10/18/10 9:30,4e658b2821ecf3e0a900002b,Streetlight,101000193566,closed,completed,4cd44a5d21ecf37018008b4b,10/29/10 15:48
"140 Harrishof St, Boston",Dead animal,42.3173167,-71.09076451,https://mayors24.cityofboston.gov/attachments/report/4cd44a6521ecf37018008bab/photo/miscellaneous.jpg,10/25/10 11:28,4e658b2821ecf3e0a900003e,Other,101000193730,closed,,4cd44a6521ecf37018008bab,10/25/10 12:21
N42.27 E71.09,BTD sign down on island.,42.27333775,-71.09402392,https://mayors24.cityofboston.gov/attachments/report/4cd44a6621ecf37018008bb1/photo/miscellaneous.jpg,10/25/10 12:52,4e658b2821ecf3e0a900003e,Other,101000193774,closed,other: Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a6621ecf37018008bb1,11/17/10 13:21
"1181 Blue Hill Ave, Boston",Damaged sign,42.28419698,-71.09155862,https://mayors24.cityofboston.gov/attachments/report/4cd44a6621ecf37018008bb7/photo/miscellaneous.jpg,10/25/10 13:01,4e658b2821ecf3e0a900003e,Other,101000193781,closed,referred: Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a6621ecf37018008bb7,11/17/10 13:20
"488 Dorchester Ave, Boston",Street cleaning across from 488 Dorchester Avenue,42.33207865,-71.05683362,https://mayors24.cityofboston.gov/attachments/report/4cd44a6721ecf37018008bbd/photo/miscellaneous.jpg,10/27/10 9:01,4e658b2821ecf3e0a900003e,Other,101000194455,closed,Leave's cleaned up,4cd44a6721ecf37018008bbd,10/28/10 9:37
"12 Cotton St, Boston",,42.29069519,-71.12907479,https://mayors24.cityofboston.gov/attachments/report/4cd44a6721ecf37018008bc3/photo/pothole.jpg,10/27/10 10:20,4e658b2821ecf3e0a9000029,Pothole,101000194516,closed,patched 10/28/10,4cd44a6721ecf37018008bc3,10/28/10 7:29
N42.29 E71.13,,42.2891158,-71.13395869,https://mayors24.cityofboston.gov/attachments/report/4cd44a6721ecf37018008bc9/photo/pothole.jpg,10/27/10 10:27,4e658b2821ecf3e0a9000029,Pothole,101000194521,closed,patched 10/28/10,4cd44a6721ecf37018008bc9,10/28/10 7:28
"623 River St, Boston",,42.26554717,-71.09868978,https://mayors24.cityofboston.gov/attachments/report/4cd44a6821ecf37018008bcf/photo/pothole.jpg,10/27/10 11:48,4e658b2821ecf3e0a9000029,Pothole,101000194571,closed,,4cd44a6821ecf37018008bcf,10/29/10 8:19
N42.26 E71.11,,42.26167292,-71.11145912,https://mayors24.cityofboston.gov/attachments/report/4cd44a6821ecf37018008bd5/photo/pothole.jpg,10/27/10 11:53,4e658b2821ecf3e0a9000029,Pothole,101000194574,closed,,4cd44a6821ecf37018008bd5,10/29/10 8:19
N42.27 E71.07,,42.27284336,-71.07354913,https://mayors24.cityofboston.gov/attachments/report/4cd44a6921ecf37018008bdb/photo/pothole.jpg,10/27/10 12:27,4e658b2821ecf3e0a9000029,Pothole,101000194592,closed,Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a6921ecf37018008bdb,10/28/10 10:58
"20 Sanford St, Boston",,42.27395081,-71.07113221,https://mayors24.cityofboston.gov/attachments/report/4cd44a6921ecf37018008be1/photo/pothole.jpg,10/27/10 12:29,4e658b2821ecf3e0a9000029,Pothole,101000194595,closed,Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a6921ecf37018008be1,10/28/10 10:57
"455 Dorchester Ave, Boston",,42.33322868,-71.05724159,https://mayors24.cityofboston.gov/attachments/report/4cd44a6a21ecf37018008be7/photo/pothole.jpg,10/27/10 12:50,4e658b2821ecf3e0a9000029,Pothole,101000194604,closed,Patched,4cd44a6a21ecf37018008be7,10/29/10 13:22
N42.36 E71.06,Street light. Out. ,42.36437469,-71.06003447,https://mayors24.cityofboston.gov/attachments/report/4cd445e221ecf370180047c8/photo/streetlight.jpg,10/28/10 18:26,4e658b2821ecf3e0a900002b,Streetlight,101000195190,open,,4cd445e221ecf370180047c8,10/28/10 18:27
N42.36 E71.06,Street light out. ,42.36484636,-71.06037596,https://mayors24.cityofboston.gov/attachments/report/4cd445e221ecf370180047ce/photo/streetlight.jpg,10/28/10 18:27,4e658b2821ecf3e0a900002b,Streetlight,101000195191,open,,4cd445e221ecf370180047ce,10/28/10 18:28
N42.36 E71.06,On Congress Inbound at State,42.35878176,-71.0567265,https://mayors24.cityofboston.gov/attachments/report/4cd44a6a21ecf37018008bed/photo/pothole.jpg,10/29/10 12:10,4e658b2821ecf3e0a9000029,Pothole,101000195399,closed,,4cd44a6a21ecf37018008bed,11/2/10 14:13
N42.36 E71.06,Inbound just before 1 Post Office Square,42.35669667,-71.05543338,https://mayors24.cityofboston.gov/attachments/report/4cd44a6a21ecf37018008bf3/photo/pothole.jpg,10/29/10 12:13,4e658b2821ecf3e0a9000029,Pothole,101000195401,closed,,4cd44a6a21ecf37018008bf3,11/2/10 14:13
N42.36 E71.06,Inbound at 1 Post Office Square,42.35684334,-71.05559444,https://mayors24.cityofboston.gov/attachments/report/4cd44a6b21ecf37018008bf9/photo/pothole.jpg,10/29/10 12:14,4e658b2821ecf3e0a9000029,Pothole,101000195403,open,,4cd44a6b21ecf37018008bf9,10/29/10 12:14
N42.36 E71.06,,42.3568473,-71.05572225,https://mayors24.cityofboston.gov/attachments/report/4cd44a6b21ecf37018008bff/photo/pothole.jpg,10/29/10 12:15,4e658b2821ecf3e0a9000029,Pothole,101000195404,closed,,4cd44a6b21ecf37018008bff,11/2/10 14:13
N42.32 E71.10,Second time opening this issue.  On utility box.  Was closed last week without being fixed.,42.32189175,-71.10108364,https://mayors24.cityofboston.gov/attachments/report/4cd44dc321ecf3701800c5a2/photo/graffiti.jpg,11/1/10 8:05,4e658b2821ecf3e0a900002f,Graffiti,101000195814,closed,CAN'T REMOVE THIS IS A PRIVATE ELECTRICAL GENERATOR TRANSFER BOX...I BELIEVE I ALSO PUT THIS IN BEFORE.,4cd44dc321ecf3701800c5a2,11/4/10 11:17
N42.33 E71.04,Sunken casting; contractor complaints.,42.3334349,-71.04379538,https://mayors24.cityofboston.gov/attachments/report/4cd44a6c21ecf37018008c05/photo/miscellaneous.jpg,11/3/10 13:28,4e658b2821ecf3e0a900003e,Other,101000196872,closed,Case Resolved.,4cd44a6c21ecf37018008c05,12/23/11 9:42
"1 City Hall Ave Boston, MA 02109",,42.360478,-71.057726,https://mayors24.cityofboston.gov/attachments/report/4cd464050882cf0b78000001/photo/graffiti.jpg,11/5/10 16:07,4e658b2821ecf3e0a900002f,Graffiti,101000197737,closed,other: Your case has been closed. Please contact the Mayor's Hotline for further details,4cd464050882cf0b78000001,11/8/10 11:43
N42.38 E71.03,Residents @ 217 Trenton Street stopped putting the trash out for collection.  Walkway between houses is littered with trash and nearly impassable,42.38085331,-71.03120188,https://mayors24.cityofboston.gov/attachments/report/4cd480850882cf0b78000008/photo/other.jpg,11/5/10 18:09,4e658b2821ecf3e0a900003e,Other,101000197758,closed,other: Your case has been closed. Please contact the Mayor's Hotline for further details,4cd480850882cf0b78000008,11/8/10 10:18
,Light out in the public garden,42.35306017,-71.07021665,https://mayors24.cityofboston.gov/attachments/report/4cd498870882cf0b78000008/photo/streetlight.jpg,11/5/10 19:51,4e658b2821ecf3e0a900002b,Streetlight,101000197772,closed,resolved: ,4cd498870882cf0b78000008,11/18/10 16:20
,Light out by pond in public garden,42.35524497,-71.07016228,https://mayors24.cityofboston.gov/attachments/report/4cd499bf0882cf0b7800000d/photo/streetlight.jpg,11/5/10 19:56,4e658b2821ecf3e0a900002b,Streetlight,101000197773,closed,resolved: Ballast and globe replaced,4cd499bf0882cf0b7800000d,11/16/10 23:25
N42.37 E71.06,3 double headed light fixtures (total 6 lights) on southside of Causeway St between Canal and Friend streets are out.,42.36523876,-71.06142862,https://mayors24.cityofboston.gov/attachments/report/4cd4ab340882cf0b7800001f/photo/streetlight.jpg,11/5/10 21:11,4e658b2821ecf3e0a900002b,Streetlight,101000197781,open,,4cd4ab340882cf0b7800001f,11/5/10 21:12
,"Every Wednesday, on trash day, i come back from my walk with my two children to find our sidewalk I'm shambles. I can't even make it to the front door with my stroller because of the mess the garbage collectors leave. I also often have to walk in the street with my stroller around town for this reason. Is it possible that they can place the cans and lid neatly along the sidewalk, the way they find them?!",42.3809307,-71.0700938,https://mayors24.cityofboston.gov/attachments/report/4cd4af7a0882cf0b7800000a/photo/other.jpg,11/5/10 21:29,4e658b2821ecf3e0a900003e,Other,101000197783,closed,other: Your case has been closed. Please contact the Mayor's Hotline for further details,4cd4af7a0882cf0b7800000a,11/8/10 6:57
"24-36 Oakdale St, Boston",,42.31233048,-71.10661895,https://mayors24.cityofboston.gov/attachments/report/4cd54db00882cf0b78000022/photo/graffiti.jpg,11/6/10 8:44,4e658b2821ecf3e0a900002f,Graffiti,101000197805,closed,other: Your case has been closed. Please contact the Mayor's Hotline for further details,4cd54db00882cf0b78000022,11/22/10 14:06
"96 Gove St, Boston","This section of Gove St is never swept on it's scheduled street cleaning day.  In addition, it has become a dumping ground for jersey barriers.",42.37066466,-71.03576459,https://mayors24.cityofboston.gov/attachments/report/4cd5503b0882cf0b78000019/photo/other.jpg,11/6/10 8:55,4e658b2821ecf3e0a900003e,Other,101000197808,closed,resolved: constrtion is done we will sweep street next posting.,4cd5503b0882cf0b78000019,11/8/10 9:46
,,42.31929005,-71.10290021,https://mayors24.cityofboston.gov/attachments/report/4cd571110882cf0b7800002a/photo/graffiti.jpg,11/6/10 11:15,4e658b2821ecf3e0a900002f,Graffiti,101000197826,closed,resolved: THIS REQUEST HAS BEEN COMPLETED .,4cd571110882cf0b7800002a,11/22/10 10:19
N42.24 E71.13,Trash and debris all along the track side of Prescott street in Hyde park. There was no street cleaning this year and the street litter is awful.  Need to go behind parked cars all along the street to see the trash. Please clean up before the first snow.,42.23686238,-71.13307389,,11/6/10 12:06,4e658b2821ecf3e0a900003e,Other,101000197841,closed,resolved: ,4cd57cff0882cf0b7800001e,11/10/10 13:56
"286 W 3rd St, Boston","In the backyard of 286 W. 3rd Street in South Boston there is an illegally stored, old television that has been there for 3 months (along with other trash).",42.33747371,-71.04649841,https://mayors24.cityofboston.gov/attachments/report/4cd581d40882cf0b78000030/photo/other.jpg,11/6/10 12:27,4e658b2821ecf3e0a900003e,Other,101000197844,open,,4cd581d40882cf0b78000030,11/6/10 12:27
N42.38 E71.04,Google maps says this area is a park. Doesn't look like a park to me. This area has one of the best water views in Boston and looks awful. There should be a park bench or something nice there. Also the guardrail is very old looking and beat up. Makes the neighborhood look disgusting. The whole area is very un-looked after.,42.38259088,-71.0403435,https://mayors24.cityofboston.gov/attachments/report/4cd5992c0882cf0b78000028/photo/other.jpg,11/6/10 14:06,4e658b2821ecf3e0a900003e,Other,101000197852,open,,4cd5992c0882cf0b78000028,11/6/10 14:07
N42.34 E71.07,"This is on Public Alley 710 between St George & Harrison Ave. It is not a huge hole, but could use some attention before it is a problem.",42.33800308,-71.07203258,https://mayors24.cityofboston.gov/attachments/report/4cd5b01e0882cf0b78000039/photo/pothole.jpg,11/6/10 15:44,4e658b2821ecf3e0a9000029,Pothole,101000197864,open,,4cd5b01e0882cf0b78000039,11/6/10 15:44
N42.35 E71.12,Vandalized street signs...  New Stop sign and One Way sign needed.,42.35428209,-71.12470341,https://mayors24.cityofboston.gov/attachments/report/4cd5b4a10882cf0b7800003f/photo/other.jpg,11/6/10 16:03,4e658b2821ecf3e0a900003e,Other,101000197868,open,,4cd5b4a10882cf0b7800003f,11/6/10 16:04
